position,original_velocity,filtered_velocity,filtered_acc
0,3,0.5,0
0.1,3,0.532,0.16
0.2,3,0.590341,0.310376
0.3,3,0.665872,0.445891
0.4,3,0.750879,0.566034
0.5,3,0.840451,0.672576
0.6,3,0.931802,0.767763
0.7,3,1.02341,0.853618
0.8,3,1.11446,0.931788
0.9,3,1.20419,1
1,3,1.28723,1
1.1,3,1.36492,1
1.2,3,1.43818,1
1.3,3,1.50771,1
1.4,3,1.57404,1
1.5,3,1.63757,1
1.6,3,1.69864,1
1.7,3,1.75751,1
1.8,3,1.81441,1
1.9,3,1.86952,1
2,3,1.92301,1
2.1,3,1.97501,1
2.2,3,2.02564,1
2.3,3,2.07501,1
2.4,3,2.1232,1
2.5,3,2.1703,1
2.6,3,2.21638,1
2.7,3,2.2615,1
2.8,3,2.30572,1
2.9,3,2.34909,1
3,3,2.39166,1
3.1,3,2.43347,1
3.2,3,2.47456,1
3.3,3,2.51497,1
3.4,3,2.55474,1
3.5,3,2.59388,1
3.6,3,2.63243,1
3.7,3,2.67042,1
3.8,3,2.70787,1
3.9,3,2.7448,1
4,3,2.78123,1
4.1,3,2.81718,1
4.2,3,2.85268,1
4.3,3,2.88773,1
4.4,3,2.92236,1
4.5,3,2.95658,1
4.6,3,2.99041,1
4.7,3,3,0
4.8,3,3,0
4.9,3,3,0
5,3,3,0
5.1,3,3,0
5.2,3,2.98727,-0.531424
5.3,3,2.96937,-0.504483
5.4,3,2.95229,-0.477385
5.5,3,2.93603,-0.450137
5.6,3,2.92061,-0.422746
5.7,3,2.90607,-0.395217
5.8,3,2.8924,-0.367558
5.9,3,2.87964,-0.339777
6,3,2.86779,-0.311881
6.1,3,2.85687,-0.283879
6.2,3,2.8469,-0.255778
6.3,3,2.83789,-0.227588
6.4,3,2.82985,-0.199318
6.5,3,2.82279,-0.170977
6.6,3,2.81672,-0.142575
6.7,3,2.81165,-0.114122
6.8,3,2.80758,-0.0856278
6.9,3,2.80453,-0.0571025
7,3,2.80249,-0.0285564
7.1,2.80147,2.80147,0
7.2,2.80147,2.80147,0
7.3,2.80147,2.80147,0
7.4,2.80147,2.80147,0
7.5,2.80147,2.80147,0
7.6,2.80147,2.80147,0
7.7,2.80147,2.80147,0
7.8,2.80147,2.80147,0
7.9,2.80147,2.80147,0
8,2.80147,2.80147,0
8.1,2.80147,2.80147,0
8.2,2.80147,2.80147,0
8.3,2.80147,2.80147,0
8.4,2.80147,2.80147,0
8.5,2.80147,2.80147,0
8.6,2.80147,2.80147,0
8.7,2.80147,2.80147,0
8.8,2.80147,2.80147,0
8.9,2.80147,2.80147,0
9,2.80147,2.80147,0
9.1,2.80147,2.80147,0
9.2,2.80147,2.80147,0
9.3,2.80147,2.80147,0
9.4,2.80147,2.80147,0
9.5,2.80147,2.80147,0
9.6,2.80147,2.80147,0
9.7,2.80147,2.80147,0
9.8,2.80147,2.80147,0
9.9,2.80147,2.80147,0
10,2.80147,2.80147,0
10.1,2.80147,2.80147,0
10.2,2.80147,2.77344,-1
10.3,2.80147,2.7369,-1
10.4,2.80147,2.69987,-1
10.5,2.80147,2.6623,-1
10.6,2.80147,2.6242,-0.981237
10.7,2.80147,2.58626,-0.950304
10.8,2.80147,2.54898,-0.918919
10.9,2.80147,2.5124,-0.887077
11,2.80147,2.47658,-0.854774
11.1,2.80147,2.44157,-0.822008
11.2,2.80147,2.40743,-0.788778
11.3,2.80147,2.3742,-0.755082
11.4,2.80147,2.34196,-0.720923
11.5,2.80147,2.31076,-0.686302
11.6,2.80147,2.28067,-0.651225
11.7,2.80147,2.25175,-0.615697
11.8,2.80147,2.22407,-0.579727
11.9,2.80147,2.19769,-0.543325
12,2.80147,2.17268,-0.506504
12.1,2.80147,2.14911,-0.46928
12.2,2.80147,2.12705,-0.431669
12.3,2.80147,2.10656,-0.393692
12.4,2.80147,2.0877,-0.355373
12.5,2.80147,2.07054,-0.316735
12.6,2.80147,2.05513,-0.277808
12.7,2.80147,2.04152,-0.238622
12.8,2.80147,2.02976,-0.199208
12.9,2.80147,2.0199,-0.159603
13,2.80147,2.01197,-0.119841
13.1,2.80147,2.00599,-0.07996
13.2,2.80147,2.002,-0.04
13.3,2,2,0
13.4,2,2,0
13.5,2,2,0
13.6,2,2,0
13.7,2,2,0
13.8,2,2,0
13.9,2,2,0
14,2,2,0
14.1,2,2,0
14.2,2,2,0
14.3,2,2,0
14.4,2,2,0
14.5,2,2,0
14.6,2,2,0
14.7,2,2,0
14.8,2,2,0
14.9,2,2,0
15,2,2,0
15.1,2,2,0
15.2,2,2,0
15.3,2,2,0
15.4,2,2,0
15.5,2,2,0
15.6,2,2,0
15.7,2,2,0
15.8,2,2,0
15.9,2,2,0
16,2,2,0
16.1,2,2,0
16.2,2,2,0
16.3,2,2,0
16.4,2,2,0
16.5,2,2,0
16.6,2,2,0
16.7,2,2,0
16.8,2,2,0
16.9,2,2,0
17,2,2,0
17.1,2,2,0
17.2,2,2,0
17.3,2,2,0
17.4,2,2,0
17.5,2,2,0
17.6,2,2,0
17.7,2,2,0
17.8,2,2,0
17.9,2,2,0
18,2,2,0
18.1,2,2,0
18.2,2,2,0
18.3,2,2,0
18.4,2,2,0
18.5,2,2,0
18.6,2,2,0
18.7,2,2,0
18.8,2,2,0
18.9,2.86957,2.002,0.04
19,5,2.00599,0.07996
19.1,5,2.01197,0.119841
19.2,5,2.0199,0.159603
19.3,5,2.02976,0.199208
19.4,5,2.04152,0.238622
19.5,5,2.05513,0.277808
19.6,5,2.07054,0.316735
19.7,5,2.0877,0.355373
19.8,5,2.10656,0.393692
19.9,5,2.12705,0.431669
20,4,2.14911,0.46928
20.1,4,2.17268,0.506504
20.2,4,2.19769,0.543325
20.3,4,2.22407,0.579727
20.4,4,2.25175,0.615697
20.5,4,2.28067,0.651225
20.6,4,2.31076,0.686302
20.7,4,2.34196,0.720923
20.8,4,2.3742,0.755082
20.9,4,2.40743,0.788778
21,4,2.44157,0.822008
21.1,4,2.47658,0.854774
21.2,4,2.5124,0.887077
21.3,4,2.54898,0.918919
21.4,4,2.58626,0.950304
21.5,4,2.6242,0.981237
21.6,4,2.6623,1
21.7,4,2.69987,1
21.8,4,2.7369,1
21.9,4,2.77344,1
22,4,2.8095,1
22.1,4,2.84509,1
22.2,4,2.88024,1
22.3,4,2.91496,1
22.4,4,2.94927,1
22.5,4,2.98317,1
22.6,4,3.01669,1
22.7,4,3.04984,1
22.8,4,3.08263,1
22.9,4,3.11507,1
23,4,3.14717,1
23.1,4,3.17895,1
23.2,4,3.2104,1
23.3,4,3.24155,1
23.4,4,3.2724,1
23.5,4,3.30296,1
23.6,4,3.33324,1
23.7,4,3.36324,1
23.8,4,3.39297,1
23.9,4,3.42244,1
24,4,3.45166,1
24.1,4,3.44147,-1
24.2,4,3.41217,-1
24.3,4,3.3826,-1
24.4,4,3.35278,-1
24.5,4,3.32268,-1
24.6,4,3.29231,-1
24.7,4,3.26165,-1
24.8,4,3.2307,-1
24.9,4,3.19944,-1
25,4,3.16787,-1
25.1,4,3.13599,-1
25.2,4,3.10377,-1
25.3,4,3.07121,-1
25.4,4,3.03829,-1
25.5,4,3.00502,-1
25.6,4,2.97136,-1
25.7,4,2.93732,-1
25.8,4,2.90287,-1
25.9,4,2.868,-1
26,4,2.8327,-1
26.1,4,2.79694,-1
26.2,4,2.76072,-1
26.3,4,2.72401,-1
26.4,4,2.68679,-1
26.5,4,2.64904,-1
26.6,4,2.61074,-1
26.7,4,2.57186,-1
26.8,4,2.53237,-1
26.9,4,2.49224,-1
27,4,2.45145,-1
27.1,4,2.40996,-1
27.2,4,2.36772,-1
27.3,4,2.32471,-1
27.4,4,2.28086,-1
27.5,4,2.23614,-1
27.6,4,2.19049,-1
